author,content,timestamp,message_id
notonft,I saw you piled on Turkish asshole,2023-06-21T18:18:52.137000+00:00,1121142207727018064
notonft,OR ELSE,2023-06-21T18:18:10.829000+00:00,1121142034468704367
notonft,Or else,2023-06-21T18:17:58.267000+00:00,1121141981779853402
notonft,Remove cry clown,2023-06-21T18:17:54.791000+00:00,1121141967200473331
notonft,Who clown me,2023-06-21T18:17:49.033000+00:00,1121141943049666652
notonft,Shut your mouths,2023-06-21T18:17:30.411000+00:00,1121141864943333456
notonft,Thank him for the bull run we see today,2023-06-21T18:17:12.518000+00:00,1121141789894647898
notonft,Sold at 11,2023-06-21T18:17:01.002000+00:00,1121141741593034763
notonft,Could you guys try to be less stupid? Asking for a friend,2023-06-21T18:16:07.462000+00:00,1121141517030011021
notonft,Ban you,2023-06-21T18:13:22.707000+00:00,1121140825997459456
notonft,Let me,2023-06-21T18:13:19.560000+00:00,1121140812797984869
notonft,Sharing a feast,2023-06-21T18:12:33.422000+00:00,1121140619281186906
notonft,That’s me and starlight dad,2023-06-21T18:12:26.335000+00:00,1121140589556146307
notonft,,2023-06-21T18:12:01.552000+00:00,1121140485608706110
notonft,Fangs piss bucket,2023-06-21T18:11:33.305000+00:00,1121140367132196915
notonft,I think you can do well here,2023-06-21T18:08:19.364000+00:00,1121139553684697168
notonft,,2023-06-21T18:07:26.813000+00:00,1121139333269835776
notonft,So you could be happier,2023-06-21T18:06:59.422000+00:00,1121139218383642675
notonft,I thought I could show you guys things from my life,2023-06-21T18:06:48.310000+00:00,1121139171776544799
notonft,Yes,2023-06-21T18:06:19.098000+00:00,1121139049252520036
notonft,,2023-06-21T18:05:40.945000+00:00,1121138889227247859
notonft,,2023-06-21T18:04:59.665000+00:00,1121138716086390784
notonft,Woman can’t here,2023-06-21T18:03:17.114000+00:00,1121138285956309044
notonft,She doesn’t drive asshole,2023-06-21T18:03:07.969000+00:00,1121138247599403029
notonft,Are you sober,2023-06-21T18:02:37.767000+00:00,1121138120923029646
notonft,Bud I need ride to the airport,2023-06-21T18:02:28.366000+00:00,1121138081492373524
notonft,Who did this I will reward them 10k TRTLS,2023-06-21T17:59:51.365000+00:00,1121137422982467686
notonft,Perfect,2023-06-21T17:59:01.456000+00:00,1121137213648945193
notonft,Maybe I’m the idiot,2023-06-21T17:57:28.882000+00:00,1121136825365450812
notonft,You idiots are playing with your fake internet money meanwhile for some reason im traveling world making real businesses for you to benefit from. I think it’s like dad mentality but I didn’t have kids.,2023-06-21T17:57:10.267000+00:00,1121136747288473682
notonft,This is great can you put Turkish flag please don’t be disrespectful,2023-06-21T17:55:44.501000+00:00,1121136387559792732
notonft,I saw pan says something about this,2023-06-21T17:51:19.519000+00:00,1121135276144734208
notonft,I don’t read news or watch tv or YouTube,2023-06-21T17:51:06.343000+00:00,1121135220880576643
notonft,Sorry what happened,2023-06-21T17:50:54.490000+00:00,1121135171165487185
notonft,Shut up,2023-06-21T17:49:50.649000+00:00,1121134903396946091
notonft,He couldn’t handle his liquor last night,2023-06-21T17:47:43.051000+00:00,1121134368212136099
notonft,<@767450705350885377> wake up asshole im talking about your country,2023-06-21T17:47:26.272000+00:00,1121134297835896993
notonft,It’s not your fault,2023-06-21T17:46:38.494000+00:00,1121134097440452658
notonft,People are stupid as fuck,2023-06-21T17:46:35.063000+00:00,1121134083049783378
notonft,"I’m telling you, its happening here",2023-06-21T17:45:39.625000+00:00,1121133850525974550
notonft,Yeah bud,2023-06-21T17:45:15.748000+00:00,1121133750378561576
notonft,zoom in,2023-06-21T17:44:48.147000+00:00,1121133634611581058
notonft,Give a look at how massive Istanbul is,2023-06-21T17:44:44.697000+00:00,1121133620141244566
notonft,I read this a second time in crocodile Dundee voice and it made more sense,2023-06-21T17:44:23.208000+00:00,1121133530009837568
notonft,Come on now bud you not even into Solana,2023-06-21T17:41:49.530000+00:00,1121132885437583511
notonft,Guys let’s support <@326883075550085120> and his AI art https://twitter.com/notonft/status/1671572688970604544?s=46&t=kgj62atgqgaXDIEEyYZ_bQ,2023-06-21T17:37:30.469000+00:00,1121131798856999004
notonft,When you realize _slow_ in slow and steady doesn’t mean what you thought,2023-06-21T16:36:27.373000+00:00,1121116434718793728
notonft,Buddy nobody here can read we are just using voice to text,2023-06-21T16:35:37.376000+00:00,1121116225016168448
notonft,Send the narrative that crypto ain’t dead just yet,2023-06-21T16:33:47.484000+00:00,1121115764095729744
notonft,It’s good for everything.,2023-06-21T16:33:36.224000+00:00,1121115716867870841
notonft,Nft volume very depressing tho,2023-06-21T16:31:43.052000+00:00,1121115242190086334
notonft,Gogogo it’s going back to 20,2023-06-21T16:31:20.411000+00:00,1121115147226853478
notonft,"As long as this looks like this though, pools not going to be printing",2023-06-21T16:27:43.398000+00:00,1121114237008355378
notonft,https://twitter.com/pland__/status/1671521378170806274?s=46&t=kgj62atgqgaXDIEEyYZ_bQ,2023-06-21T16:27:27.653000+00:00,1121114170969034963
notonft,You miss me showering you with free money? Well bud I bet you do.,2023-06-21T16:26:23.242000+00:00,1121113900809723992
notonft,Hope you guys gonna buy raffle tickets for them turtordinals,2023-06-21T16:19:10.053000+00:00,1121112083883380827
notonft,Bitcoin narrative is strong for sure,2023-06-21T16:18:49.817000+00:00,1121111999007424642
notonft,They went straight for tmnt IP. Marketplace gonna get cease and desist from Viacom,2023-06-21T15:58:02.375000+00:00,1121106766856470569
notonft,Rug,2023-06-21T15:52:07.305000+00:00,1121105277584953424
notonft,On Eth? Ofc,2023-06-21T15:50:34.563000+00:00,1121104888596807730
notonft,I forgot I had this thing it’s pumping,2023-06-21T15:45:53.138000+00:00,1121103708214800495
notonft,only mouse I know eats cheese,2023-06-21T13:55:16.834000+00:00,1121075873538375741
notonft,(a lie),2023-06-21T09:22:30.968000+00:00,1121007230121156619
notonft,i love girls,2023-06-21T08:56:49.359000+00:00,1121000764144373840
notonft,its <@767450705350885377> today,2023-06-21T08:07:37.430000+00:00,1120988382856749136
notonft,https://tenor.com/view/elon-musk-elon-musk-rak%C4%B1-rak%C4%B1nft-rak%C4%B1-gif-24660187,2023-06-21T08:07:32.173000+00:00,1120988360807297116
notonft,Gm,2023-06-21T07:01:32.415000+00:00,1120971752378482818
